Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
84,58090.44654,81862.13103,496413.249,76303.89688,53912.34259,402150.5608,90894.41819,661001.3064,143059.7235,75738.28847,211625.8759,110697.6342,98375.22082,22015.05267,164469.177,101618.4657,434325.8649,16038.51023,113978.0346,73186.60003,8973.406337,285244.7881,93480.02831,132065.3909,80034.56851,363923.5702,39925.64174,151340.6486,72613.42256,87638.0363,79007.27369,422133.1984,62246.43577,63389.52651,60452.05038,161922.8256,64887.55696,83276.54952,105074.5103,42396.82316,65986.63693,111928.2031,142374.0726,36768.73052,65445.26892,63021.05973,34829.61521,78910.98992,1203679.203,1075549.68,1116054.073,77523.68356,1318393.794,1201703.402,1066505.003,1163206.375,1203546.203,853081.9015,1158921.687,1491188.161,1426197.868,1189080.868,1332826.304,1569433.017,1514145.165,1488074.138,1260466.873,1463775.609,1328467.943,101936.7024,1627762.746,1546964.737,1045927.339,1503096.653,112167.6872,1397186.834,1573952.333,104125.1414,1586864.644,1446043.278,1714695.34,1383148.742,1283920.864,1193044.177,1698441.093,1022739.645,1687782.117,1576414.264,1378164.048,1357586.841,1383130.534,1210455.322,1470304.377,1339075.158,1619613.067,1680664.544
Pyroglutamic Acid 1,61429.19203,228067.3138,1756624.904,101329.5702,28020.54736,1206689.899,162056.1989,2294098.085,180019.517,85117.71083,382648.6122,150900.7783,47113.03754,25052.78525,348370.3815,90298.32329,1440702.334,38862.04305,88019.05896,103044.6824,20382.54312,562699.0599,92898.86504,128630.4005,78894.10212,914201.2786,43455.85251,216727.2885,33323.63313,88692.19578,59344.06089,1238538.153,79729.69979,125479.0504,64243.83838,366253.5274,71359.1253,84497.78072,54034.57174,336436.1367,205482.4368,64941.01763,146271.4497,26904.99648,113032.3539,39309.39025,32124.17903,62823.18749,120113.3743,15427.96312,22507.20334,176732.6378,16886.55387,164971.3373,16919.21957,120255.9973,127085.0689,104140.8872,20037.16632,16164.13815,143451.237,101734.1231,18235.5855,14756.34165,13587.99281,20031.20093,125795.0627,17017.13845,19109.5418,17748.87508,15416.12167,239619.5425,128323.8629,19476.91316,11316.91113,180674.7787,21786.32311,16086.34237,15540.85123,142797.0477,24358.36694,176136.5417,177936.1878,199774.7756,18583.95878,172584.7232,27363.21305,194884.1154,197237.4503,278661.5004,57169.98051,247697.4887,221129.8882,199333.647,318489.9732,29986.10197
106.1,131849.5203,94892.99881,972521.5605,84723.00799,147527.5916,212662.1831,244796.4433,590961.824,135459.3448,128212.2026,117130.1862,191223.9036,145877.1805,90489.10554,191548.1348,87341.72186,895485.5167,70970.53264,187977.1428,189981.4626,62950.22881,168970.4735,152577.6272,204661.7061,170559.7636,212212.0712,151914.8839,255086.3478,288786.0479,213730.3306,156061.5942,332157.2951,228510.8582,410525.813,239002.0582,234070.6989,247068.7252,147877.1603,307126.4727,722374.8786,471205.3423,352920.6053,445090.7411,349270.259,327566.6492,331218.0853,246692.1467,344476.2407,1147494.49,656049.8431,1185051.376,1006114.502,602846.053,1145827.877,733001.7614,1051979.829,614099.1192,498600.6409,358915.7205,316981.99,525757.7448,547181.073,442258.8934,888078.3131,762863.0042,669955.7139,567571.8167,507411.905,307638.0951,376806.8184,523109.1164,628054.0957,581189.0863,607379.15,336753.5687,1386170.07,753936.9144,432351.7384,629349.0385,476985.2826,372979.133,423306.9214,521558.378,529191.8513,463436.4472,388264.5593,587672.9678,901867.145,737564.852,1216160.131,556310.5535,373028.1799,735835.1689,668962.506,1277618.229,427605.0483
422.1,77.21665079,1870.498444,128588.8623,13.142647,23.57011886,20.46204844,1602.584508,115156.2702,52.39946739,11.46284853,99.19757297,25.70537815,20.69611923,31.48000421,22.09473866,18.70800223,56.78130915,32.51293336,95.86783919,54.44194015,11.27520525,126.2980415,62.50403925,104.7670505,37.62514435,95.23579195,36.80142241,26.72910454,23.47824703,17.15033448,13.12991802,32.21056269,10.80935862,9.0556724,17.08395424,10.76057314,30.24997796,9.900114845,213.2220864,12.56865761,46.76288606,17.6240838,7204.119082,51.93494298,11.95921076,13.42641937,26.11648985,55.76274003,36677.78926,37770.46335,35211.06927,31816.039,31407.79574,31809.52719,32823.37105,34467.33781,36390.99215,28003.80656,38539.30119,31965.50891,22064.1437,31774.42769,35698.26597,17463.15534,26728.29769,24605.57311,33000.41779,32041.40697,29663.26982,33364.44711,23982.36944,25336.80986,27742.75669,32362.03842,67.73915195,31849.9786,27657.1122,32675.70594,29556.06554,33682.10989,22646.70732,32515.59847,30670.44982,29919.0865,23455.66965,22633.0083,23654.7066,22084.38187,26215.52253,27065.14265,20615.17166,31204.34062,21950.68988,28372.0011,18151.37142,21507.18684
350.1,22143.519,17571.57975,29247.81239,15819.82455,155726.6626,64954.61781,79939.71669,32357.50153,113762.6118,18426.95258,19914.29309,153408.8538,143349.0795,9569.478432,68426.10292,6535.980454,40453.77255,1003.12855,55462.99296,171941.1485,774.354689,15614.74572,17880.79104,181222.9806,15652.07194,60674.95579,109949.0083,18859.88547,21243.48272,21578.73967,16792.82147,38386.58799,9012.715983,169586.4935,8150.720726,4114.2389,75113.45026,4075.087901,170427.4037,13932.43997,8188.872015,16685.40858,160031.6942,186636.9189,145937.3706,26265.42665,19093.77873,167824.3314,1233.45584,656.7321218,1082.740341,512.5008718,340.678518,1075.064565,937.7127629,1315.135943,554.4496309,479.1707552,196.8143062,362.3036377,180.3817359,341.5673308,223.7300909,293.8575045,237.0831784,266.3850694,331.4114498,597.3363984,245.1786364,598.3986147,527.3733838,269.1236412,358.3561715,276.7556599,10549.50519,829.4313974,716.1394849,616.3753834,277.0187113,357.2513316,0,962.2723661,425.6712709,234.0064727,167.455351,601.888724,1214.259425,235.8029647,229.5289228,368.6376861,357.2160648,307.9814868,415.0659232,83.08781446,269.3230025,376.6902681
249.1,234.1198132,36.07188809,768.4361989,235.9516879,39.00131146,105.7662683,823.5467144,763.6500131,846.4441067,549.4333006,885.9024742,55.23740517,19.46119297,196.4640713,3385.151203,36.3920883,69.62770352,24.85212874,24.75136709,480.5882989,741.9187317,40.65502059,13.34968718,748.0513014,164.5426946,55.18509964,41.73183343,36.39132854,10.94889812,330.0600009,3932.317997,73.39211517,112.4813175,44.58765534,57.86410854,56.36922281,100.3463599,4.172746574,20.99346587,582.510275,83.3647758,48.32704829,1575.833512,19.03674429,87.01176025,99.58081273,15.06218516,48.08957115,138477.5624,123416.7525,99666.18941,99248.67205,104041.0017,107863.3581,116423.3031,136521.0999,113988.5477,155107.4315,95618.29944,97457.5368,115297.1737,153753.488,109490.6569,82839.02394,97520.9483,96613.38189,93519.13605,86091.77703,89738.65964,74959.48762,82474.41551,84105.87359,100734.4774,99080.99638,42424.66183,70856.26415,116281.678,81449.38014,88628.69584,78550.45764,76290.64472,88314.7858,67063.86909,64966.59767,78402.86182,109477.8404,88411.79675,69225.79283,71431.47378,52326.8311,124679.5682,62006.981,83359.68965,84439.50046,62954.26879,68216.2036
957.4,1430.813726,2277.292797,409.8384041,751.2084718,490.9596236,7028.714206,2279.536307,1101.454421,1497.722569,2505.648258,3108.228522,1480.393148,921.7766283,1064.953348,8748.250336,944.0155282,423.9040116,1006.510639,763.4354403,622.9684665,1351.393212,1364.330454,1144.772533,1426.984111,1438.620445,2663.551909,1628.533528,2103.085216,858.9537181,1036.375507,711.7503003,2377.691197,1026.722778,745.4893519,1411.177795,2398.024654,1250.253826,795.359189,918.8383805,1855.537591,17925.65982,1222.719646,1020.805835,666.8612027,1407.333733,920.6466486,1064.239385,763.3495806,2005.658202,4335.920735,3037.538576,4649.825835,5113.889585,4638.9526,3240.072254,2602.368939,1823.547995,2494.319143,1846.195361,5082.035962,1936.168905,1483.022407,2654.368725,6918.692911,3501.945127,3267.247616,4678.068684,3370.064458,5964.419894,6427.709096,4668.78248,5965.698516,3092.625756,5560.329978,2187.620011,6070.179611,5081.058039,4253.54763,5782.05903,2619.231381,13399.46293,2161.487512,7801.592048,9913.867454,7549.817405,3356.377461,5329.972766,7058.899552,5762.48774,10567.44085,4760.689053,9209.039456,3698.160463,4843.771068,6479.077248,14372.81236
353.2,8.119179141,11.73881726,3471127.645,17334.40275,5692.530538,1160895.573,15351.61068,1804490.163,15070.46045,5996.169889,3589.438961,1219.712264,193.690357,131.9228069,60.72732076,17.24101487,2891364.397,2593.258396,7719.979206,3383.809416,274.7670071,1156.324683,506.7651887,212.8499292,6.788374758,1549285.347,8651.168544,3198.00359,828.0813185,689.016793,31.04268803,8117656.893,20641.39458,6318.732059,2792.113634,1624.752627,13.19348567,48.14667345,110.082061,13.39948636,82.71136134,18.27114822,23.56583318,78.21838919,10.29198201,12.75239842,124.4398146,40.4421948,40.02017456,15.22637287,30.40362963,19.17767185,16.95261971,18.97797198,42.59380108,3.372973513,7.911957043,3.831940104,19.59144604,10.91663427,8.337664825,6.174875753,42.74174295,29.03975823,13.32170795,37.7490795,10.68208018,5.614338391,19.91437442,26.96760153,47.46237719,1.439143551,12.78010613,18.39318867,5.090025736,6.697583936,15.04893018,8.584678775,6.589759473,24.09369917,9.733674086,3.390891628,9.51262029,6.726668321,19.84697217,17.67564331,5.631028787,16.31506427,3.972424448,4.726074084,4.510028595,14.74791684,13.47329592,12.1744225,22.23134271,1.826614796
86.1,3420102.512,3056033.82,935780.3782,3099555.574,3686952.885,847149.653,1182685.111,707361.7096,2655495.627,3509952.373,1811433.954,3307464.766,3698634.947,3079749.307,2793002.927,2686559.156,1032420.688,2137910.608,2957093.766,3860015.966,2063279.459,1319002.842,3625011.199,3425854.765,2749522.928,834438.4655,2986276.708,3260345.16,3710507.44,3532368.445,3373808.042,459461.5066,2974530.985,3602041.284,2949022.405,2224342.119,3968922.333,2499685.248,3532972.83,3203806.815,3247634.419,3803089.028,3538891.904,3698326.621,3599494.862,3886495.497,3635433.224,3808284.48,7280.902047,5535.692829,6462.536744,6823.414792,6691.492501,4859.865813,4359.64958,7973.992194,6423.55465,3308.562593,9178.193549,7309.587993,3096.535837,2711.332037,6643.015557,7242.166238,5783.019504,7639.820001,7974.625857,7045.996401,7322.809662,9316.568668,4561.26224,4256.175003,5520.582639,7870.686413,18312.20019,7083.530703,5802.968371,8506.41958,6478.230868,6610.875251,7549.882069,4642.989984,8541.991025,7895.213726,4668.54129,2847.649852,6475.601982,3703.189133,4814.894507,7778.628295,5833.239063,10235.73437,5600.218299,3961.192159,4330.626573,6157.185575
63,1650.6998,1353.216162,1355.102528,668.3018228,100.2582877,403.0336181,1312.940696,816.7687715,834.1011096,965.6008932,3438.993877,1620.990686,461.9669708,97.74836281,5320.646601,818.9271973,1154.709724,1342.092807,982.8430098,769.2210742,1007.823721,7144.282581,827.1868843,623.8274432,726.738196,3081.212355,835.9259652,1852.532377,947.3767457,243.8809473,371.4715817,1085.947768,2713.197057,446.5643798,1060.713759,2969.528169,499.639702,1072.954318,491.0955772,670.2215958,1203.983708,1011.32415,859.053445,425.3526812,826.1000122,184.0747619,66.04531455,542.3113206,5981.106411,4693.862535,7727.349374,3899.308096,3796.951639,5661.987889,3573.608682,5114.869814,6385.486786,7092.65255,12032.34941,2991.940074,894.9271597,1652.428918,7521.809263,595.9065405,1982.911214,1039.789416,3640.138002,2940.488907,2585.810158,6640.569627,1075.571479,1231.085249,4437.462964,4445.660276,474.3819061,3405.315264,2607.316732,8286.813383,2017.375578,4656.240906,1241.039058,5444.48048,7177.136729,6057.584339,1965.990958,3872.372387,1718.739277,950.8742839,6710.816269,7552.83534,4656.087405,9744.611738,6324.750285,4891.618788,781.0861654,2515.913358
